Date,Description,Original Description,Category,Amount,Status
2023-02-23,"CURRY POT EXPRESS                022323","CURRY POT EXPRESS                022323",Category Pending,-22.92,Pending
2023-02-22,"EPB","EPB              WEB_PAY    ***********1723",Utilities,-276.37,Posted
2023-02-21,"Ecm Loan Pay","TN VALLEFCU ECM  LOAN PAY   ***********7360",Uncategorized,-199.65,Posted
2023-02-21,"Barclaycard","BARCLAYCARD US   CREDITCARD ***********1108",Credit Card Payment,-65.00,Posted
2023-02-21,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********9686",Credit Card Payment,-60.00,Posted
2023-02-21,"American Express Credit Card","AMEX EPAYMENT    ACH PMT    ***********6020",Credit Card Payment,-50.00,Posted
2023-02-21,"Walmart","WAL-MART #14692020 GUNBARCHATTANOOGA  TN",Shopping,-21.48,Posted
2023-02-21,"Microsoft","Microsoft*Subscription   MSBILL.INFO  WA",Entertainment,-14.99,Posted
2023-02-16,"Uber Eats","UBER* EATS               HTTPSWWW.UBERCA",Food & Dining,-22.64,Posted
2023-02-16,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,750.00,Posted
2023-02-15,"IRS Tax Payment","IRS              USATAXPYMT ***********7064",Federal Tax,-50.00,Posted
2023-02-14,"Capital One Credit Card","CAPITAL ONE      MOBILE PMT ***********5PIU",Credit Card Payment,-25.00,Posted
2023-02-13,"Capital One Credit Card","CAPITAL ONE      MOBILE PMT ***********EOAV",Credit Card Payment,-73.00,Posted
2023-02-10,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2023-02-09,"Discover Credit Card","DISCOVER         E-PAYMENT  ***********2213",Credit Card Payment,-250.00,Posted
2023-02-07,"Uber Eats","UBER   EATS              HELP.UBER.COMCA",Food & Dining,-29.43,Posted
2023-02-07,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,135.00,Posted
2023-02-06,"Westgate Resorts Mortgage","Westgate Resorts MORTGAGE   ***********5070",Mortgage & Rent,-250.00,Posted
2023-02-06,"T-Mobile","TMOBILE*WEB UPGRADE      800-937-8997 WA",Mobile Phone,-234.33,Posted
2023-02-06,"T-Mobile","TMOBILE*WEB UPGRADE      800-937-8997 WA",Mobile Phone,-91.35,Posted
2023-02-06,"Uber Eats","UBER   EATS              HELP.UBER.COMCA",Food & Dining,-31.29,Posted
2023-02-03,"Transfer to Venmo","VENMO            PAYMENT    ***********5957",Transfer,-900.00,Posted
2023-02-02,"American Express Credit Card","AMEX EPAYMENT    ACH PMT    ***********7346",Credit Card Payment,-56.76,Posted
2023-02-02,"Circle K","CIRCLE K # 03644 7020    CHATTANOOGA  TN",Gas,-35.06,Posted
2023-02-02,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,1000.00,Posted
2023-02-02,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,250.00,Posted
2023-02-01,"Target","TARGET T-13021816 GunbarrCHATTANOOGA  TN",Shopping,-40.05,Posted
2023-01-30,"American Express Credit Card","AMEX EPAYMENT    ACH PMT    ***********8296",Credit Card Payment,-81.69,Posted
2023-01-30,"American Express Credit Card","AMEX EPAYMENT    ACH PMT    ***********9482",Credit Card Payment,-40.00,Posted
2023-01-26,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,450.00,Posted
2023-01-23,"EPB","EPB              WEB_PAY    ***********1923",Utilities,-268.00,Posted
2023-01-23,"Citi Credit Card","CITI CARD ONLINE PAYMENT    ***********3090",Credit Card Payment,-102.21,Posted
2023-01-23,"EPB","EPB              WEB_PAY    ***********1923",Utilities,-67.99,Posted
2023-01-23,"Utlpayment","JP HMLTN         UTLPAYMENT ***********8467",Investments,-63.71,Posted
2023-01-23,"Uber Eats","UBER   EATS              HELP.UBER.COMCA",Food & Dining,-20.72,Posted
2023-01-20,"American Water","AMERICAN WATER E BILLPAY    ***********ATER",Utilities,-23.17,Posted
2023-01-20,"Microsoft","Microsoft*Subscription   MSBILL.INFO  WA",Entertainment,-14.99,Posted
2023-01-19,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,400.00,Posted
2023-01-18,"Navient","NAVIENT          PMT SPE    ***********1100",Student Loan,-156.80,Posted
2023-01-18,"American Express Credit Card","AMEX EPAYMENT    ACH PMT    ***********4022",Credit Card Payment,-41.54,Posted
2023-01-17,"American Express Credit Card","AMEX EPAYMENT    ACH PMT    ***********0042",Credit Card Payment,-55.00,Posted
2023-01-17,"IRS Tax Payment","IRS              USATAXPYMT ***********8961",Federal Tax,-50.00,Posted
2023-01-17,"Barclaycard","BARCLAYCARD US   CREDITCARD ***********8879",Credit Card Payment,-29.00,Posted
2023-01-17,"Capital One Credit Card","CAPITAL ONE      MOBILE PMT ***********6KC6",Credit Card Payment,-25.00,Posted
2023-01-12,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,700.00,Posted
2023-01-10,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********3560",Credit Card Payment,-42.00,Posted
2023-01-09,"Discover Credit Card","DISCOVER         E-PAYMENT  ***********2213",Credit Card Payment,-75.00,Posted
2023-01-09,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2023-01-06,"Transfer to Venmo","VENMO            PAYMENT    ***********4522",Transfer,-800.00,Posted
2023-01-06,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,56.00,Posted
2023-01-05,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,800.00,Posted
2023-01-04,"Westgate Resorts Mortgage","Westgate Resorts MORTGAGE   ***********5070",Mortgage & Rent,-247.47,Posted
2023-01-03,"Capital One Credit Card","CAPITAL ONE      PHONE PYMT ***********QH9I",Credit Card Payment,-64.00,Posted
2023-01-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,240.00,Posted
