Date,Description,Original Description,Category,Amount,Status
2023-02-28,"Walmart","Wal-Mart Super Center    EAST RIDGE   TN",Shopping,-16.19,Posted
2023-02-27,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-160.00,Posted
2023-02-27,"Whole Foods","WHOLEFDS CGR#107 1818 GUNCHATTANOOGA  TN",Groceries,-89.76,Posted
2023-02-27,"Uber Eats","UBER   EATS              HELP.UBER.COMCA",Food & Dining,-34.05,Posted
2023-02-27,"Dos Bros East Ridge East Ridge Tn","SQ *DOS BROS EAST RIDGE  EAST RIDGE   TN",Fast Food,-25.40,Posted
2023-02-27,"Sen Sushi & Hibachi Gril","SEN SUSHI & HIBACHI GRIL MARION       AR",Restaurants,-17.90,Posted
2023-02-27,"Target","TARGET T-13021816 GunbarrCHATTANOOGA  TN",Shopping,-14.41,Posted
2023-02-27,"Smoothie King","LEVELUPSMOOTHIEKING96    855-466-5585 MA",Fast Food,-7.08,Posted
2023-02-27,"Smoothie King","LEVELUPSMOOTHIEKING38    855-466-5585 MA",Fast Food,-6.88,Posted
2023-02-27,"Food City","FOOD CITY #710           EAST RIDGE   TN",Groceries,-4.73,Posted
2023-02-27,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.80,Posted
2023-02-27,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-02-27,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-02-27,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-02-27,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-02-27,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-3.59,Posted
2023-02-27,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.74,Posted
2023-02-27,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-2.74,Posted
2023-02-27,"365 Retail Markets","365 MARKET  888 432-3299 TROY         MI",Fast Food,-1.06,Posted
